fecha,geografia,variable,valor,unidad,fuente
2023-01-01,Antioquia,precipitacion,2.2,mm,open-meteo
2023-01-01,Antioquia,temp_max,24.9,°C,open-meteo
2023-01-01,Antioquia,temp_min,16.4,°C,open-meteo
2023-01-01,COLOMBIA,precio_interno_referencia,1968000.0,COP/carga_125kg,FNC
2023-01-01,Caldas,precipitacion,24.1,mm,open-meteo
2023-01-01,Caldas,temp_max,16.8,°C,open-meteo
2023-01-01,Caldas,temp_min,9.3,°C,open-meteo
2023-01-01,Cauca,precipitacion,3.7,mm,open-meteo
2023-01-01,Cauca,temp_max,21.0,°C,open-meteo
2023-01-01,Cauca,temp_min,13.9,°C,open-meteo
2023-01-01,Huila,precipitacion,1.9,mm,open-meteo
2023-01-01,Huila,temp_max,24.5,°C,open-meteo
2023-01-01,Huila,temp_min,13.6,°C,open-meteo
2023-01-01,Nariño,precipitacion,6.7,mm,open-meteo
2023-01-01,Nariño,temp_max,20.1,°C,open-meteo
2023-01-01,Nariño,temp_min,12.6,°C,open-meteo
2023-01-01,Quindío,precipitacion,10.2,mm,open-meteo
2023-01-01,Quindío,temp_max,21.3,°C,open-meteo
2023-01-01,Quindío,temp_min,14.4,°C,open-meteo
2023-01-01,Risaralda,precipitacion,37.9,mm,open-meteo
2023-01-01,Risaralda,temp_max,20.9,°C,open-meteo
2023-01-01,Risaralda,temp_min,14.5,°C,open-meteo
2023-01-01,Tolima,precipitacion,22.7,mm,open-meteo
2023-01-01,Tolima,temp_max,20.7,°C,open-meteo
2023-01-01,Tolima,temp_min,12.6,°C,open-meteo
2023-01-02,Antioquia,precipitacion,1.8,mm,open-meteo
2023-01-02,Antioquia,temp_max,24.9,°C,open-meteo
2023-01-02,Antioquia,temp_min,14.8,°C,open-meteo
2023-01-02,COLOMBIA,fx_usd_local,4846.919921875,COP/USD,yfinance
2023-01-02,COLOMBIA,precio_interno_referencia,1968000.0,COP/carga_125kg,FNC
2023-01-02,Caldas,precipitacion,9.7,mm,open-meteo
2023-01-02,Caldas,temp_max,17.5,°C,open-meteo
2023-01-02,Caldas,temp_min,8.5,°C,open-meteo
2023-01-02,Cauca,precipitacion,3.7,mm,open-meteo
2023-01-02,Cauca,temp_max,19.5,°C,open-meteo
2023-01-02,Cauca,temp_min,14.4,°C,open-meteo
2023-01-02,Huila,precipitacion,1.4,mm,open-meteo
2023-01-02,Huila,temp_max,23.7,°C,open-meteo
2023-01-02,Huila,temp_min,15.6,°C,open-meteo
2023-01-02,Nariño,precipitacion,28.5,mm,open-meteo
2023-01-02,Nariño,temp_max,18.3,°C,open-meteo
2023-01-02,Nariño,temp_min,13.4,°C,open-meteo
2023-01-02,Quindío,precipitacion,14.7,mm,open-meteo
2023-01-02,Quindío,temp_max,21.5,°C,open-meteo
2023-01-02,Quindío,temp_min,14.1,°C,open-meteo
2023-01-02,Risaralda,precipitacion,16.2,mm,open-meteo
2023-01-02,Risaralda,temp_max,22.6,°C,open-meteo
2023-01-02,Risaralda,temp_min,13.6,°C,open-meteo
2023-01-02,Tolima,precipitacion,24.6,mm,open-meteo
2023-01-02,Tolima,temp_max,20.4,°C,open-meteo
2023-01-02,Tolima,temp_min,12.3,°C,open-meteo
2023-01-03,Antioquia,precipitacion,3.6,mm,open-meteo
2023-01-03,Antioquia,temp_max,24.0,°C,open-meteo
2023-01-03,Antioquia,temp_min,16.9,°C,open-meteo
2023-01-03,COLOMBIA,fx_usd_local,4846.25,COP/USD,yfinance
2023-01-03,COLOMBIA,precio_interno_referencia,1979000.0,COP/carga_125kg,FNC
2023-01-03,Caldas,precipitacion,2.0,mm,open-meteo
2023-01-03,Caldas,temp_max,15.6,°C,open-meteo
2023-01-03,Caldas,temp_min,10.3,°C,open-meteo
2023-01-03,Cauca,precipitacion,9.7,mm,open-meteo
2023-01-03,Cauca,temp_max,19.8,°C,open-meteo
2023-01-03,Cauca,temp_min,13.7,°C,open-meteo
2023-01-03,GLOBAL,precio_cafe_arabica,166.3000030517578,USc/lb,yfinance
2023-01-03,Huila,precipitacion,3.9,mm,open-meteo
2023-01-03,Huila,temp_max,22.5,°C,open-meteo
2023-01-03,Huila,temp_min,15.3,°C,open-meteo
2023-01-03,Nariño,precipitacion,15.0,mm,open-meteo
2023-01-03,Nariño,temp_max,20.6,°C,open-meteo
2023-01-03,Nariño,temp_min,13.6,°C,open-meteo
2023-01-03,Quindío,precipitacion,12.8,mm,open-meteo
2023-01-03,Quindío,temp_max,21.1,°C,open-meteo
2023-01-03,Quindío,temp_min,15.1,°C,open-meteo
2023-01-03,Risaralda,precipitacion,33.2,mm,open-meteo
2023-01-03,Risaralda,temp_max,20.2,°C,open-meteo
2023-01-03,Risaralda,temp_min,14.6,°C,open-meteo
2023-01-03,Tolima,precipitacion,10.7,mm,open-meteo
2023-01-03,Tolima,temp_max,20.1,°C,open-meteo
2023-01-03,Tolima,temp_min,13.5,°C,open-meteo
2023-01-04,Antioquia,precipitacion,1.2,mm,open-meteo
2023-01-04,Antioquia,temp_max,24.2,°C,open-meteo
2023-01-04,Antioquia,temp_min,15.6,°C,open-meteo
2023-01-04,COLOMBIA,fx_usd_local,4860.259765625,COP/USD,yfinance
2023-01-04,COLOMBIA,precio_interno_referencia,1942000.0,COP/carga_125kg,FNC
2023-01-04,Caldas,precipitacion,0.1,mm,open-meteo
2023-01-04,Caldas,temp_max,17.7,°C,open-meteo
2023-01-04,Caldas,temp_min,10.2,°C,open-meteo
2023-01-04,Cauca,precipitacion,5.0,mm,open-meteo
2023-01-04,Cauca,temp_max,21.7,°C,open-meteo
2023-01-04,Cauca,temp_min,13.4,°C,open-meteo
2023-01-04,GLOBAL,precio_cafe_arabica,161.3000030517578,USc/lb,yfinance
2023-01-04,Huila,precipitacion,1.1,mm,open-meteo
2023-01-04,Huila,temp_max,23.1,°C,open-meteo
2023-01-04,Huila,temp_min,15.9,°C,open-meteo
2023-01-04,Nariño,precipitacion,4.9,mm,open-meteo
2023-01-04,Nariño,temp_max,21.0,°C,open-meteo
2023-01-04,Nariño,temp_min,13.4,°C,open-meteo
2023-01-04,Quindío,precipitacion,5.7,mm,open-meteo
