semana_fin,fecha_dato,geografia,variable,valor,unidad,fuente,dias_observados
2023-01-01,2023-01-01,COLOMBIA,exportaciones_cafe,832.373,miles_sacos_60kg,FNC,1
2023-01-01,2023-01-01,COLOMBIA,produccion_nacional,868.0,miles_sacos_60kg,FNC,1
2023-01-08,2023-01-08,Antioquia,precipitacion_semanal,39.0,mm,open-meteo,7
2023-01-08,2023-01-08,Antioquia,temp_max_semanal,24.9,°C,open-meteo,7
2023-01-08,2023-01-08,Antioquia,temp_min_semanal,14.8,°C,open-meteo,7
2023-01-08,2023-01-08,Antioquia,temp_promedio_semanal,19.45,°C,open-meteo,7
2023-01-08,2023-01-06,COLOMBIA,fx_usd_local,4963.43017578125,COP/USD,yfinance,5
2023-01-08,2023-01-08,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC,7
2023-01-08,2023-01-08,Caldas,precipitacion_semanal,54.5,mm,open-meteo,7
2023-01-08,2023-01-08,Caldas,temp_max_semanal,18.8,°C,open-meteo,7
2023-01-08,2023-01-08,Caldas,temp_min_semanal,8.5,°C,open-meteo,7
2023-01-08,2023-01-08,Caldas,temp_promedio_semanal,13.7286,°C,open-meteo,7
2023-01-08,2023-01-08,Cauca,precipitacion_semanal,45.3,mm,open-meteo,7
2023-01-08,2023-01-08,Cauca,temp_max_semanal,21.7,°C,open-meteo,7
2023-01-08,2023-01-08,Cauca,temp_min_semanal,12.1,°C,open-meteo,7
2023-01-08,2023-01-08,Cauca,temp_promedio_semanal,16.8357,°C,open-meteo,7
2023-01-08,2023-01-06,GLOBAL,precio_cafe_arabica,158.3000030517578,USc/lb,yfinance,4
2023-01-08,2023-01-08,Huila,precipitacion_semanal,45.0,mm,open-meteo,7
2023-01-08,2023-01-08,Huila,temp_max_semanal,25.0,°C,open-meteo,7
2023-01-08,2023-01-08,Huila,temp_min_semanal,13.2,°C,open-meteo,7
2023-01-08,2023-01-08,Huila,temp_promedio_semanal,19.0857,°C,open-meteo,7
2023-01-08,2023-01-08,Nariño,precipitacion_semanal,74.0,mm,open-meteo,7
