fecha_snapshot,fecha_dato,geografia,variable,valor,unidad,fuente
2026-06-21,2026-06-22,COLOMBIA,fx_usd_local,3443.580078125,COP/USD,yfinance
2026-06-21,2026-06-18,GLOBAL,precio_cafe_arabica,275.1000061035156,USc/lb,yfinance
2026-06-21,2026-06-18,COLOMBIA,precio_interno_referencia,2110000.0,COP/carga_125kg,FNC
2026-06-21,2026-06-21,Antioquia,precipitacion_semanal,52.8,mm,open-meteo
2026-06-21,2026-06-21,Antioquia,temp_min_semanal,17.0,°C,open-meteo
2026-06-21,2026-06-21,Antioquia,temp_max_semanal,30.2,°C,open-meteo
2026-06-21,2026-06-21,Antioquia,temp_promedio_semanal,23.2188,°C,open-meteo
2026-06-21,2026-06-21,Caldas,precipitacion_semanal,153.3,mm,open-meteo
2026-06-21,2026-06-21,Caldas,temp_min_semanal,11.0,°C,open-meteo
2026-06-21,2026-06-21,Caldas,temp_max_semanal,21.0,°C,open-meteo
2026-06-21,2026-06-21,Caldas,temp_promedio_semanal,15.725,°C,open-meteo
2026-06-21,2026-06-21,Cauca,precipitacion_semanal,17.8,mm,open-meteo
2026-06-21,2026-06-21,Cauca,temp_min_semanal,14.1,°C,open-meteo
2026-06-21,2026-06-21,Cauca,temp_max_semanal,25.3,°C,open-meteo
2026-06-21,2026-06-21,Cauca,temp_promedio_semanal,19.5312,°C,open-meteo
2026-06-21,2026-06-21,Huila,precipitacion_semanal,52.0,mm,open-meteo
2026-06-21,2026-06-21,Huila,temp_min_semanal,14.4,°C,open-meteo
2026-06-21,2026-06-21,Huila,temp_max_semanal,25.9,°C,open-meteo
2026-06-21,2026-06-21,Huila,temp_promedio_semanal,20.0938,°C,open-meteo
2026-06-21,2026-06-21,Nariño,precipitacion_semanal,28.6,mm,open-meteo
2026-06-21,2026-06-21,Nariño,temp_min_semanal,15.1,°C,open-meteo
2026-06-21,2026-06-21,Nariño,temp_max_semanal,23.0,°C,open-meteo
2026-06-21,2026-06-21,Nariño,temp_promedio_semanal,19.1562,°C,open-meteo
2026-06-21,2026-06-21,Quindío,precipitacion_semanal,108.6,mm,open-meteo
2026-06-21,2026-06-21,Quindío,temp_min_semanal,16.3,°C,open-meteo
2026-06-21,2026-06-21,Quindío,temp_max_semanal,23.6,°C,open-meteo
2026-06-21,2026-06-21,Quindío,temp_promedio_semanal,19.9312,°C,open-meteo
2026-06-21,2026-06-21,Risaralda,precipitacion_semanal,48.4,mm,open-meteo
2026-06-21,2026-06-21,Risaralda,temp_min_semanal,16.0,°C,open-meteo
2026-06-21,2026-06-21,Risaralda,temp_max_semanal,26.2,°C,open-meteo
2026-06-21,2026-06-21,Risaralda,temp_promedio_semanal,20.9062,°C,open-meteo
2026-06-21,2026-06-21,Tolima,precipitacion_semanal,136.7,mm,open-meteo
2026-06-21,2026-06-21,Tolima,temp_min_semanal,15.3,°C,open-meteo
2026-06-21,2026-06-21,Tolima,temp_max_semanal,25.6,°C,open-meteo
2026-06-21,2026-06-21,Tolima,temp_promedio_semanal,19.8687,°C,open-meteo
